VACATION,SW,S_INCOME,E_INCOME,S_POP,E_POP,SLOT,GATE,DISTANCE,FARE
No,No,26993,21121,3532657,1228816,Free,Free,1588,179.13
No,Yes,29260,21121,7830332,1228816,Controlled,Free,1259,185.65
No,Yes,29260,21121,7830332,1228816,Free,Free,1259,185.65
No,No,29055,21121,1862106,1228816,Free,Free,388,69.6
Yes,Yes,24575,21121,1197234,1228816,Free,Free,359,57.4
No,Yes,24706,21121,9056076,1228816,Free,Free,584,66.46
No,No,32991,21121,8621121,1228816,Controlled,Free,1982,259.32
No,No,32991,21121,8621121,1228816,Controlled,Free,1982,259.32
No,No,32991,21121,8621121,1228816,Free,Constrained,1982,259.32
No,Yes,29846,21121,2237227,1228816,Free,Free,586,69.95
No,Yes,23025,21121,2753373,1228816,Free,Free,495,73.69
No,Yes,24236,21121,1481076,1228816,Free,Free,525,72.22
No,Yes,23903,21121,2673620,1228816,Free,Free,617,65.91
No,No,38813,21121,1653017,1228816,Free,Free,593,85.19
No,Yes,30916,21121,2230831,1228816,Free,Free,696,78.3
No,Yes,29260,21276,7830332,1481709,Controlled,Free,1038,128.36
No,Yes,29260,21276,7830332,1481709,Free,Free,1038,128.36
No,Yes,28637,21276,3036732,1481709,Free,Free,242,63.69
No,Yes,27211,21276,3770125,1481709,Free,Free,177,63.92
Yes,Yes,24575,21276,1197234,1481709,Free,Free,1074,86.71
No,Yes,24706,21276,9056076,1481709,Free,Free,1218,130.09
No,No,32991,21276,8621121,1481709,Controlled,Free,1577,273.53
No,No,32991,21276,8621121,1481709,Controlled,Free,1577,273.53
No,No,32991,21276,8621121,1481709,Free,Constrained,1577,273.53
Yes,Yes,22360,21276,1421287,1481709,Free,Free,1032,118.17
No,No,26993,23903,3532657,2673620,Free,Free,1886,204.35
No,No,30124,23903,5787293,2673620,Free,Free,2576,291.51
No,Yes,29260,23903,7830332,2673620,Controlled,Free,1724,219.63
No,Yes,29260,23903,7830332,2673620,Free,Free,1724,219.63
No,No,28637,23903,3036732,2673620,Free,Free,1163,252.97
No,No,29055,23903,1862106,2673620,Free,Free,840,134.79
Yes,Yes,24575,23903,1197234,2673620,Free,Free,258,53.14
No,No,24706,23903,9056076,2673620,Free,Free,114,70.41
No,No,24706,23903,9056076,2673620,Free,Free,114,70.41
No,No,28739,23903,2761118,2673620,Free,Constrained,1532,251.73
No,No,32991,23903,8621121,2673620,Controlled,Free,2433,299.17
No,No,32991,23903,8621121,2673620,Controlled,Free,2433,299.17
No,No,32991,23903,8621121,2673620,Free,Constrained,2433,299.17
No,Yes,29846,23903,2237227,2673620,Free,Free,448,57.29
No,Yes,23025,23903,2753373,2673620,Free,Free,295,50.1
No,Yes,38813,23903,1653017,2673620,Free,Free,455,58.68
No,Yes,30916,23903,2230831,2673620,Free,Free,1056,100.8
No,No,26993,38813,3532657,1653017,Free,Free,2137,248.49
No,No,30124,38813,5787293,1653017,Free,Free,2694,367.72
No,No,24706,38813,9056076,1653017,Free,Free,332,83.74
No,No,29260,38813,7830332,1653017,Controlled,Free,1851,291.66
No,No,29260,38813,7830332,1653017,Free,Free,1851,291.66
No,No,28637,38813,3036732,1653017,Free,Free,1463,297.83
No,No,29055,38813,1862106,1653017,Free,Free,960,168.96
No,No,26506,38813,4459144,1653017,Free,Constrained,2084,314.88
No,Yes,27211,38813,3770125,1653017,Free,Free,1637,241.04
No,No,25450,38813,1694803,1653017,Free,Free,1500,116.52
Yes,Yes,24575,38813,1197234,1653017,Free,Free,416,72.58
No,No,24706,38813,9056076,1653017,Free,Free,341,79.23
Yes,No,21207,38813,2105604,1653017,Free,Free,2579,261.67
No,No,28739,38813,2761118,1653017,Free,Constrained,1589,224.17
No,No,32991,38813,8621121,1653017,Controlled,Free,2574,374.4
No,No,32991,38813,8621121,1653017,Controlled,Free,2574,374.4
No,No,32991,38813,8621121,1653017,Free,Constrained,2574,374.4
Yes,No,22360,38813,1421287,1653017,Free,Free,2443,261.74
No,No,27994,38813,4948339,1653017,Free,Free,2523,326.76
No,Yes,23025,38813,2753373,1653017,Free,Free,646,85.52
No,No,30916,38813,2230831,1653017,Free,Free,676,81.28
No,Yes,23665,34880,1038660,1594251,Free,Free,1473,200.41
No,No,30124,34880,5787293,1594251,Free,Free,2682,402.02
No,Yes,24706,34880,9056076,1594251,Free,Free,296,59.8
No,No,29260,34880,7830332,1594251,Controlled,Free,1837,294.18
No,No,29260,34880,7830332,1594251,Free,Free,1837,294.18
No,No,28637,34880,3036732,1594251,Free,Free,1436,325.02
No,No,29055,34880,1862106,1594251,Free,Free,943,263.48
Yes,Yes,24575,34880,1197234,1594251,Free,Free,387,55.16
No,Yes,24706,34880,9056076,1594251,Free,Free,305,58.98
No,Yes,23025,34880,2753373,1594251,Free,Free,614,92.57
No,Yes,23903,34880,2673620,1594251,Free,Free,419,63.39
No,Yes,30916,34880,2230831,1594251,Free,Free,702,63.3
Yes,No,32991,30460,8621121,528868,Controlled,Free,1042,137.25
Yes,No,32991,30460,8621121,528868,Controlled,Free,1042,137.25
Yes,No,32991,30460,8621121,528868,Free,Constrained,1042,137.25
No,No,28690,30916,249642,2230831,Free,Free,1443,142.83
No,No,26993,30916,3532657,2230831,Free,Free,2182,200.2
No,No,30124,30916,5787293,2230831,Free,Free,2489,297.61
No,Yes,24706,30916,9056076,2230831,Free,Free,943,97.46
No,No,29260,30916,7830332,2230831,Controlled,Free,1731,260.16
No,No,29260,30916,7830332,2230831,Free,Free,1731,260.16
No,No,28637,30916,3036732,2230831,Free,Free,1662,239.66
No,No,29055,30916,1862106,2230831,Free,Free,1028,169.92
No,No,26506,30916,4459144,2230831,Free,Constrained,1932,285.34
Yes,Yes,24575,30916,1197234,2230831,Free,Free,869,70.16
No,Yes,24706,30916,9056076,2230831,Free,Free,957,101.64
No,No,28739,30916,2761118,2230831,Free,Constrained,1402,186.96
No,No,32991,30916,8621121,2230831,Controlled,Free,2411,289.25
No,No,32991,30916,8621121,2230831,Controlled,Free,2411,289.25
No,No,32991,30916,8621121,2230831,Free,Constrained,2411,289.25
No,Yes,29846,30916,2237227,2230831,Free,Free,677,63.06
Yes,No,22360,30916,1421287,2230831,Free,Free,2553,238.73
No,Yes,23025,30916,2753373,2230831,Free,Free,1103,110
No,Yes,30916,21300,2230831,403939,Free,Free,225,51.3
No,No,26993,25824,3532657,2549844,Free,Free,471,199.8
No,Yes,29260,25824,7830332,2549844,Controlled,Free,257,76.96
No,Yes,29260,25824,7830332,2549844,Free,Free,257,76.96
No,Yes,26046,25824,2230955,2549844,Free,Free,492,77.62
No,No,28637,25824,3036732,2549844,Free,Free,556,188.11
No,No,29055,25824,1862106,2549844,Free,Free,785,207.17
No,Yes,26506,25824,4459144,2549844,Free,Constrained,447,77.46
No,Yes,27211,25824,3770125,2549844,Free,Free,682,105.13
No,Yes,25450,25824,1694803,2549844,Free,Free,244,56.8
Yes,Yes,24575,25824,1197234,2549844,Free,Free,1379,141.48
No,Yes,24706,25824,9056076,2549844,Free,Free,1602,210.16
No,No,28739,25824,2761118,2549844,Free,Constrained,457,202.77
No,No,32991,25824,8621121,2549844,Controlled,Free,877,261.63
No,No,32991,25824,8621121,2549844,Controlled,Free,877,261.63
No,No,32991,25824,8621121,2549844,Free,Constrained,877,261.63
Yes,Yes,22360,25824,1421287,2549844,Free,Free,869,142.98
No,Yes,23025,25824,2753373,2549844,Free,Free,1272,137.2
No,No,32991,22069,8621121,743633,Controlled,Free,199,120.84
No,No,32991,22069,8621121,743633,Controlled,Free,199,120.84
No,No,32991,22069,8621121,743633,Free,Constrained,199,120.84
Yes,No,22360,22069,1421287,743633,Free,Free,1054,119.9
Yes,No,21207,21002,2105604,258019,Free,Free,399,105.45
Yes,No,26993,23654,3532657,2195215,Free,Free,414,87.35
Yes,No,30124,23654,5787293,2195215,Free,Free,1183,124.82
Yes,Yes,29260,23654,7830332,2195215,Controlled,Free,1008,127.06
Yes,Yes,29260,23654,7830332,2195215,Free,Free,1008,127.06
Yes,Yes,24502,23654,125722,2195215,Free,Free,834,106.65
Yes,No,26506,23654,4459144,2195215,Free,Constrained,994,107.51
Yes,Yes,26752,23654,1440377,2195215,Free,Free,187,46.32
Yes,No,30268,23654,1106780,2195215,Free,Free,1108,125.25
Yes,No,24706,23654,9056076,2195215,Free,Free,2164,224.21
Yes,No,21207,23654,2105604,2195215,Free,Free,194,85.62
Yes,No,32991,23654,8621121,2195215,Controlled,Free,1009,123.89
Yes,No,32991,23654,8621121,2195215,Controlled,Free,1009,123.89
Yes,No,32991,23654,8621121,2195215,Free,Constrained,1009,123.89
Yes,No,27994,23654,4948339,2195215,Free,Free,932,122.99
Yes,No,25054,23654,2374260,2195215,Free,Constrained,874,119.84
Yes,Yes,25824,23654,2549844,2195215,Free,Free,865,135.76
Yes,Yes,24575,20375,1197234,766956,Free,Free,357,49.77
No,Yes,24706,20375,9056076,766956,Free,Free,447,49.02
No,Yes,23903,20375,2673620,766956,Free,Free,358,54.96
No,Yes,28637,22956,3036732,754013,Free,Free,239,64.97
No,Yes,27211,22956,3770125,754013,Free,Free,444,100.36
No,No,22089,31981,668159,4549784,Free,Free,1643,215.57
No,No,22089,31981,668159,4549784,Controlled,Free,1643,215.57
No,No,26993,31981,3532657,4549784,Free,Free,539,166.67
No,No,26993,31981,3532657,4549784,Controlled,Free,539,166.67
No,No,30124,31981,5787293,4549784,Free,Free,400,132.79
No,No,30124,31981,5787293,4549784,Controlled,Free,400,132.79
No,No,29260,31981,7830332,4549784,Controlled,Free,591,145.61
No,No,29260,31981,7830332,4549784,Controlled,Free,591,145.61
No,No,29260,31981,7830332,4549784,Free,Free,591,145.61
No,No,29260,31981,7830332,4549784,Controlled,Free,591,145.61
No,No,24502,31981,125722,4549784,Free,Free,310,100.95
No,No,24502,31981,125722,4549784,Controlled,Free,310,100.95
No,No,28637,31981,3036732,4549784,Free,Free,1185,256.86
No,No,28637,31981,3036732,4549784,Controlled,Free,1185,256.86
No,No,29055,31981,1862106,4549784,Free,Free,1470,240.48
No,No,29055,31981,1862106,4549784,Controlled,Free,1470,240.48
No,No,26506,31981,4459144,4549784,Free,Constrained,391,205.96
No,No,26506,31981,4459144,4549784,Controlled,Constrained,391,205.96
Yes,No,26752,31981,1440377,4549784,Free,Free,896,127.67
Yes,No,26752,31981,1440377,4549784,Controlled,Free,896,127.67
No,No,30268,31981,1106780,4549784,Free,Free,315,117.35
No,No,30268,31981,1106780,4549784,Controlled,Free,315,117.35
No,No,27211,31981,3770125,4549784,Free,Free,1213,297.2
No,No,27211,31981,3770125,4549784,Controlled,Free,1213,297.2
No,No,25450,31981,1694803,4549784,Free,Free,935,182.56
No,No,25450,31981,1694803,4549784,Controlled,Free,935,182.56
No,No,24706,31981,9056076,4549784,Free,Free,2300,303.82
No,No,24706,31981,9056076,4549784,Controlled,Free,2300,303.82
Yes,No,21207,31981,2105604,4549784,Free,Free,924,147.8
Yes,No,21207,31981,2105604,4549784,Controlled,Free,924,147.8
No,No,28739,31981,2761118,4549784,Free,Constrained,916,235.1
No,No,28739,31981,2761118,4549784,Controlled,Constrained,916,235.1
No,No,22038,31981,1308499,4549784,Free,Free,956,164.3
No,No,22038,31981,1308499,4549784,Controlled,Free,956,164.3
No,No,32991,31981,8621121,4549784,Controlled,Free,217,114.35
No,No,32991,31981,8621121,4549784,Controlled,Free,217,114.35
No,No,32991,31981,8621121,4549784,Controlled,Free,217,114.35
No,No,32991,31981,8621121,4549784,Controlled,Free,217,114.35
No,No,32991,31981,8621121,4549784,Free,Constrained,217,114.35
No,No,32991,31981,8621121,4549784,Controlled,Constrained,217,114.35
Yes,No,22360,31981,1421287,4549784,Free,Free,760,125.8
Yes,No,22360,31981,1421287,4549784,Controlled,Free,760,125.8
No,No,23025,31981,2753373,4549784,Free,Free,1970,279.83
No,No,23025,31981,2753373,4549784,Controlled,Free,1970,279.83
No,No,23903,31981,2673620,4549784,Free,Free,2259,273.83
No,No,23903,31981,2673620,4549784,Controlled,Free,2259,273.83
No,No,38813,31981,1653017,4549784,Free,Free,2428,347.82
No,No,38813,31981,1653017,4549784,Controlled,Free,2428,347.82
No,No,30916,31981,2230831,4549784,Free,Free,2317,281.06
No,No,30916,31981,2230831,4549784,Controlled,Free,2317,281.06
No,No,25824,31981,2549844,4549784,Free,Free,699,258.37
No,No,25824,31981,2549844,4549784,Controlled,Free,699,258.37
Yes,No,23654,31981,2195215,4549784,Free,Free,815,132.94
Yes,No,23654,31981,2195215,4549784,Controlled,Free,815,132.94
Yes,No,26993,37375,3532657,991717,Free,Free,546,104.11
Yes,No,30124,37375,5787293,991717,Free,Free,1193,127.83
Yes,No,29260,37375,7830332,991717,Controlled,Free,1134,145.53
Yes,No,29260,37375,7830332,991717,Free,Free,1134,145.53
Yes,No,30268,37375,1106780,991717,Free,Free,1125,130.15
Yes,No,32991,37375,8621121,991717,Controlled,Free,1030,129.63
Yes,No,32991,37375,8621121,991717,Controlled,Free,1030,129.63
Yes,No,32991,37375,8621121,991717,Free,Constrained,1030,129.63
Yes,No,27994,37375,4948339,991717,Free,Free,960,124.87
Yes,No,31981,37375,4549784,991717,Free,Free,858,129.62
Yes,No,31981,37375,4549784,991717,Controlled,Free,858,129.62
